stand,latcoord,longcoord
0,51.513579166666666,7.608893888888889
1,51.51385638888889,7.609451666666667
2,51.514116666666666,7.610004722222222
3,51.51441138888889,7.610621111111111
4,51.51470555555556,7.611259722222222
5,51.51542611111111,7.611696111111111
6,51.5156475,7.612335555555555
7,51.51587333333333,7.612975277777777
8,51.51605833333333,7.613544444444444
9,51.51625694444444,7.614120833333333
10,51.516464722222224,7.614690277777777
11,51.5166725,7.6152524999999995
12,51.51687111111111,7.615814722222222
5-N-O,51.51542611111111,7.611696111111111
6-N-O,51.5156475,7.612335555555555
7-N-O,51.51587333333333,7.612975277777777
8-N-O,51.51605833333333,7.613544444444444
9-N-O,51.51625694444444,7.614120833333333
10-N-O,51.516464722222224,7.614690277777777
11-N-O,51.5166725,7.6152524999999995
12-N-O,51.51687111111111,7.615814722222222
B2,51.5125225,7.605558055555555
B3,51.51235333333333,7.605067777777777
B4,51.51218472222222,7.6045927777777775
B5,51.5119625,7.603978333333333
B6,51.51163833333333,7.603135277777778
Hangar,51.51050277777777,7.600446527777777
Heli,51.510923148148144,7.603324074074074
GAT,51.51300333333333,7.607843958333333
